Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
braingnn,ADHD200,cc400,DX,42,0.5036496350364964,0.2765957446808511,0.5847204438753735,0.5664881897731626,0.5157917200170722,0.1830985915492957,0.8484848484848485,0.5652173913043478,0.0422225277292399,0.0307948397836037
braingnn,ADHD200,cc400,DX,123,0.4671532846715328,0.160919540229885,0.5061886470337175,0.5241634706121217,0.4811139564660691,0.0985915492957746,0.8636363636363636,0.4375,-0.0587650956999979,-0.0366953457033274
braingnn,ADHD200,cc400,DX,456,0.5182481751824818,0.2666666666666666,0.5271020059752454,0.5675906134946465,0.531476739223218,0.1690140845070422,0.8939393939393939,0.631578947368421,0.0910129245061527,0.0612541528239202
braingnn,ADHD200,cc400,DX,789,0.5620437956204379,0.3181818181818182,0.5725565514297909,0.636407904792245,0.5758642765685019,0.1971830985915492,0.9545454545454546,0.8235294117647058,0.2299605691694771,0.1474797759800871
braingb,ADHD200,cc400,DX,1,0.5547445255474452,0.4403669724770642,0.5768245838668373,0.6170712028497771,0.5629534784464362,0.3380281690140845,0.7878787878787878,0.631578947368421,0.1405210783574164,0.1237286358393625
braingb,ADHD200,cc400,DX,42,0.5036496350364964,0.4137931034482758,0.528169014084507,0.6171919605237596,0.5099231754161331,0.3380281690140845,0.6818181818181818,0.5333333333333333,0.0211145405596158,0.0195748263523468
braingb,ADHD200,cc400,DX,123,0.5474452554744526,0.4038461538461538,0.5832266325224071,0.621970357638852,0.5569782330345711,0.2957746478873239,0.8181818181818182,0.6363636363636364,0.1331577583232281,0.1116921146203723
braingb,ADHD200,cc400,DX,456,0.5547445255474452,0.5343511450381679,0.5650874946649596,0.6083090490438462,0.5570849338454973,0.4929577464788732,0.6212121212121212,0.5833333333333334,0.1149824748689445,0.1135037657791449
braingb,ADHD200,cc400,DX,789,0.5401459854014599,0.5263157894736842,0.5676483141271874,0.5857898472602674,0.5419334186939821,0.4929577464788732,0.5909090909090909,0.5645161290322581,0.0841908572839627,0.0834660719974513
dpm,ADHD200,cc400,DX,1,0.5474452554744526,0.4150943396226415,0.6188647033717456,0.6325056489761596,0.5564447289799402,0.3098591549295774,0.803030303030303,0.6285714285714286,0.1293362967773669,0.1107621440536013
dpm,ADHD200,cc400,DX,42,0.5474452554744526,0.4150943396226415,0.6180110968843363,0.6287728874452158,0.5564447289799402,0.3098591549295774,0.803030303030303,0.6285714285714286,0.1293362967773669,0.1107621440536013
dpm,ADHD200,cc400,DX,123,0.5401459854014599,0.4,0.6214255228339736,0.6307258655703175,0.5494024754588135,0.2957746478873239,0.803030303030303,0.6176470588235294,0.1142935646694968,0.0968923302291514
dpm,ADHD200,cc400,DX,456,0.5766423357664233,0.4629629629629629,0.6271873666239863,0.6348430199258306,0.5851472471190782,0.352112676056338,0.8181818181818182,0.6756756756756757,0.1916464977730138,0.1672605323831482
dpm,ADHD200,cc400,DX,789,0.5766423357664233,0.4727272727272727,0.62569355527102,0.6351545122731386,0.5846137430644472,0.3661971830985915,0.803030303030303,0.6666666666666666,0.1873814968273923,0.1663869072597565
lstm,ADHD200,cc400,DX,1,0.5474452554744526,0.4363636363636363,0.5879214682031584,0.6099123577366641,0.5553777208706786,0.3380281690140845,0.7727272727272727,0.6153846153846154,0.1226368182262504,0.1088963491397397
lstm,ADHD200,cc400,DX,42,0.5985401459854015,0.5378151260504201,0.5919760990183525,0.6241562981771192,0.6041399914639352,0.4507042253521127,0.7575757575757576,0.6666666666666666,0.2181388672108098,0.2057552440181299
lstm,ADHD200,cc400,DX,123,0.5036496350364964,0.3061224489795918,0.6128894579598805,0.6235897252790238,0.5147247119078106,0.2112676056338028,0.8181818181818182,0.5555555555555556,0.0369913106848131,0.0287739783152626
lstm,ADHD200,cc400,DX,456,0.583941605839416,0.5128205128205128,0.6252667520273154,0.6178736960524871,0.5900554844216817,0.4225352112676056,0.7575757575757576,0.6521739130434783,0.1905643651953892,0.1777403390544382
lstm,ADHD200,cc400,DX,789,0.5693430656934306,0.512396694214876,0.5845070422535211,0.625417211537145,0.5743704652155357,0.4366197183098591,0.7121212121212122,0.62,0.1543785677686895,0.1470929619077766
transformer,ADHD200,cc400,DX,1,0.5328467153284672,0.3962264150943396,0.539265898420828,0.5482026452638944,0.5418267178830559,0.2957746478873239,0.7878787878787878,0.6,0.0958408853246272,0.0820770519262981
transformer,ADHD200,cc400,DX,42,0.5766423357664233,0.5,0.6227059325650874,0.6439575124718089,0.5830132309005549,0.4084507042253521,0.7575757575757576,0.6444444444444445,0.1766356188750661,0.1637549989475899
transformer,ADHD200,cc400,DX,123,0.5547445255474452,0.4299065420560747,0.6256935552710201,0.6539451997334584,0.563486982501067,0.323943661971831,0.803030303030303,0.6388888888888888,0.1441464284772899,0.1246464858070598
transformer,ADHD200,cc400,DX,456,0.5328467153284672,0.4181818181818181,0.5930431071276142,0.6352880914817145,0.5407597097737943,0.323943661971831,0.7575757575757576,0.5897435897435898,0.0902644789256795,0.0801510700797314
transformer,ADHD200,cc400,DX,789,0.5985401459854015,0.5045045045045045,0.5734101579172002,0.6239331631792714,0.6062740076824584,0.3943661971830985,0.8181818181818182,0.7,0.2335835924585446,0.2090899548651202
